W ELO,B ELO,OP,Res
1002,1470,4,-1
1003,1262,4,1
1003,1262,4,-1
1009,1425,4,-1
1028,1470,4,1
1031,1926,4,1
1031,1812,4,1
1034,1441,4,-1
1038,1460,4,-1
1041,1363,4,-1
1042,1217,4,-1
1045,1157,4,0
1049,1869,4,-1
1049,1145,4,1
1053,1410,4,-1
1055,1151,4,-1
1055,1252,4,-1
1059,1634,4,-1
1059,1749,4,-1
1060,1771,4,-1
1063,1454,4,-1
1063,1196,4,-1
1063,1510,4,-1
1067,1285,4,-1
1074,1695,4,-1
1074,1127,4,-1
1075,1871,4,-1
1075,1986,4,0
1078,1625,4,-1
1079,1626,4,-1
1085,1402,4,-1
1085,1710,4,-1
1089,1234,4,-1
1090,1719,4,-1
1093,1699,4,-1
1093,1060,4,1
1095,1243,4,1
1099,1248,4,0
1099,1667,4,-1
1100,1606,4,-1
1100,1925,4,1
1107,1864,4,-1
1107,1288,4,-1
1109,1108,4,0
1116,1131,4,1
1117,1139,4,1
1119,1557,4,1
1122,1687,4,-1
1126,1736,4,1
1127,1644,4,-1
1128,1099,4,1
1130,1413,4,1
1131,1650,4,-1
1134,1839,4,1
1135,1541,4,0
1139,1310,4,-1
1143,1710,4,-1
1144,1814,4,1
1146,1136,4,-1
1148,1620,4,1
1148,1732,4,-1
1152,1279,4,1
1155,1618,4,0
1157,1774,4,1
1157,1165,4,1
1158,1767,4,-1
1160,1370,4,-1
1163,1468,4,-1
1165,1305,4,-1
1165,1822,4,-1
1165,1420,4,-1
1165,1727,4,-1
1166,1546,4,-1
1166,1738,4,-1
1167,1764,4,0
1168,1404,4,1
1168,1410,4,-1
1172,1234,4,1
1173,1512,4,-1
1178,1454,4,0
1179,1664,4,1
1180,1435,4,1
1180,1209,4,-1
1183,1751,4,-1
1188,1352,4,0
1188,1402,4,-1
1189,1209,4,1
1189,1623,4,1
1192,1955,4,-1
1192,1541,4,1
1194,1343,4,-1
1195,1045,4,1
1196,1892,4,-1
1198,1282,4,-1
1198,1852,4,-1
1201,1551,4,-1
1202,1989,4,-1
1202,1807,4,1
1202,1840,4,1
1204,1346,4,1
1205,1381,4,0
1208,1225,4,1
1209,1750,4,-1
1209,1592,4,-1
1211,1618,4,-1
1211,1812,4,1
1211,1899,4,1
1212,1306,4,1
1212,1674,4,1
1212,1215,4,1
1212,1671,4,-1
1213,1402,4,0
1216,1909,4,-1
1218,1301,4,-1
1223,1712,4,-1
1225,1647,4,1
1227,1636,4,1
1227,1666,4,0
1227,1632,4,-1
1227,1576,4,-1
1229,1532,4,-1
1229,1971,4,-1
1230,1864,4,-1
1230,1486,4,1
1236,1192,4,1
1237,1807,4,1
